category	folder_path	xmin	xmax	ymin	ymax	class	score	total
Road	0000000053.png	95	151	196	250	['mandatory: 99%']	99.99457597732544	1
Road	0000000039.png	397	413	179	196	['mandatory: 68%']	68.30664277076721	1
Road	0000000040.png	386	403	181	200	['mandatory: 88%']	88.83417248725891	1
Road	0000000048.png	261	294	182	218	['mandatory: 99%']	99.9771773815155	1
Road	0000000043.png	350	372	182	207	['mandatory: 99%']	99.84074234962463	1
Road	0000000045.png	315	347	178	211	['mandatory: 99%']	99.94428753852844	1
Road	0000000001.png	825	926	0	72	['danger: 99%']	99.9882698059082	1
Road	0000000042.png	362	384	185	207	['mandatory: 99%']	99.85350370407104	2
Road	0000000042.png	743	762	179	198	['prohibitory: 74%']	74.74124431610107	2
Road	0000000052.png	139	188	194	243	['mandatory: 99%']	99.99483823776245	1
Road	0000000041.png	373	392	183	203	['mandatory: 99%']	99.87381100654602	1
Road	0000000000.png	784	865	4	91	['danger: 99%']	99.98772144317627	1
Road	0000000054.png	46	105	198	258	['mandatory: 99%']	99.94837045669556	1
Road	0000000049.png	235	271	183	222	['mandatory: 99%']	99.99046325683594	1
Road	0000000081.png	517	562	225	265	['prohibitory: 83%']	83.99155735969543	1
Road	0000000096.png	846	903	222	265	['prohibitory: 55%']	55.77419996261597	1
Road	0000000055.png	0	55	200	265	['mandatory: 99%']	99.99929666519165	1
Road	0000000047.png	283	323	185	219	['mandatory: 99%']	99.9879002571106	2
Road	0000000047.png	749	765	179	197	['prohibitory: 97%']	97.9121208190918	2
Road	0000000093.png	778	828	222	265	['prohibitory: 81%']	81.05603456497192	1
Road	0000000046.png	301	331	180	215	['mandatory: 99%']	99.9315857887268	1
Road	0000000050.png	208	249	183	225	['mandatory: 99%']	99.99487400054932	1
Road	0000000082.png	541	581	225	265	['prohibitory: 97%']	97.93187975883484	1
Road	0000000044.png	336	361	179	206	['mandatory: 99%']	99.90382194519043	2
Road	0000000044.png	719	739	179	197	['prohibitory: 77%']	77.73160338401794	2
Road	0000000084.png	576	621	225	265	['prohibitory: 72%']	72.3186731338501	1
Road	0000000051.png	177	217	191	234	['mandatory: 99%']	99.98818635940552	1
