category	folder_path	xmin	xmax	ymin	ymax	class	score	total
Road	data/0000000395.png	777	804	119	147	['danger: 99%']	99.9693512916565	1
Road	data/0000000394.png	770	797	122	150	['danger: 92%']	92.04654693603516	1
Road	data/0000000396.png	781	811	111	142	['danger: 98%']	98.67108464241028	1
Road	data/0000000397.png	787	820	109	140	['danger: 99%']	99.98691082000732	1
Road	data/0000000409.png	1011	1088	20	84	['danger: 99%']	99.97592568397522	1
Road	data/0000000408.png	969	1039	35	93	['danger: 99%']	99.99843835830688	1
Road	data/0000000056.png	1116	1146	130	157	['prohibitory: 99%']	99.43206310272217	1
Road	data/0000000054.png	1075	1097	131	152	['prohibitory: 70%']	70.63747048377991	1
Road	data/0000000055.png	1095	1121	131	155	['prohibitory: 98%']	98.17258715629578	1
Road	data/0000000045.png	935	953	146	163	['prohibitory: 95%']	95.9712266921997	1
Road	data/0000000047.png	957	978	143	164	['prohibitory: 97%']	97.39659428596497	1
Road	data/0000000048.png	969	990	141	161	['prohibitory: 91%']	91.59941077232361	1
Road	data/0000000059.png	1204	1230	130	154	['prohibitory: 88%']	88.94185423851013	1
Road	data/0000000405.png	886	939	66	112	['danger: 99%']	99.99771118164062	1
Road	data/0000000411.png	1124	1216	0	54	['danger: 84%']	84.54634547233582	1
Road	data/0000000175.png	225	258	239	273	['prohibitory: 84%']	84.07502770423889	1
Road	data/0000000410.png	1061	1143	0	74	['danger: 99%']	99.99724626541138	1
Road	data/0000000404.png	867	914	72	118	['danger: 99%']	99.9991774559021	1
Road	data/0000000406.png	910	966	55	109	['danger: 99%']	99.99856948852539	1
Road	data/0000000407.png	934	998	45	102	['danger: 99%']	99.99943971633911	1
Road	data/0000000403.png	852	895	79	122	['danger: 99%']	99.99814033508301	1
Road	data/0000000402.png	835	878	86	126	['danger: 99%']	99.99865293502808	1
Road	data/0000000399.png	803	838	103	135	['danger: 99%']	99.16679859161377	1
Road	data/0000000400.png	812	850	99	133	['danger: 99%']	99.99364614486694	1
Road	data/0000000170.png	755	804	273	319	['prohibitory: 73%']	73.27778935432434	1
Road	data/0000000401.png	825	865	92	130	['danger: 99%']	99.99985694885254	1
Road	data/0000000398.png	795	830	104	137	['danger: 99%']	99.9931812286377	1
