category	folder_path	xmin	xmax	ymin	ymax	class	score	total
Road	data/0000000183.png	538	558	83	106	['prohibitory: 99%']	99.98891353607178	1
Road	data/0000000197.png	529	562	57	90	['prohibitory: 99%']	99.99880790710449	1
Road	data/0000000196.png	529	560	59	92	['prohibitory: 99%']	99.99037981033325	1
Road	data/0000000182.png	539	559	91	112	['prohibitory: 99%']	99.99582767486572	1
Road	data/0000000209.png	523	570	0	28	['prohibitory: 99%']	99.97265934944153	1
Road	data/0000000194.png	530	561	67	98	['prohibitory: 99%']	99.99779462814331	1
Road	data/0000000180.png	540	560	107	127	['prohibitory: 99%']	99.9678373336792	1
Road	data/0000000181.png	540	560	100	121	['prohibitory: 99%']	99.99746084213257	1
Road	data/0000000195.png	529	558	62	94	['prohibitory: 99%']	99.99161958694458	1
Road	data/0000000208.png	524	571	0	33	['prohibitory: 99%']	99.89210367202759	1
Road	data/0000000191.png	533	558	83	110	['prohibitory: 99%']	99.98618364334106	1
Road	data/0000000185.png	537	560	85	109	['prohibitory: 99%']	99.99825954437256	1
Road	data/0000000184.png	537	559	84	107	['prohibitory: 99%']	99.99821186065674	1
Road	data/0000000190.png	534	559	85	112	['prohibitory: 99%']	99.9956488609314	1
Road	data/0000000186.png	537	559	90	113	['prohibitory: 99%']	99.98176693916321	1
Road	data/0000000192.png	532	559	80	108	['prohibitory: 99%']	99.99788999557495	1
Road	data/0000000179.png	543	562	111	130	['prohibitory: 99%']	99.7892677783966	1
Road	data/0000000178.png	544	562	112	131	['prohibitory: 99%']	99.9745786190033	1
Road	data/0000000193.png	532	559	75	104	['prohibitory: 99%']	99.99688863754272	1
Road	data/0000000187.png	538	560	94	117	['prohibitory: 99%']	99.99862909317017	1
Road	data/0000000203.png	531	575	27	69	['prohibitory: 99%']	99.99921321868896	1
Road	data/0000000175.png	545	563	104	123	['prohibitory: 96%']	96.35445475578308	1
Road	data/0000000202.png	533	572	35	75	['prohibitory: 99%']	99.9996542930603	1
Road	data/0000000200.png	532	570	44	83	['prohibitory: 99%']	99.99934434890747	1
Road	data/0000000189.png	535	560	90	114	['prohibitory: 99%']	99.9968409538269	1
Road	data/0000000176.png	545	563	104	124	['prohibitory: 99%']	99.92444515228271	1
Road	data/0000000177.png	543	562	106	126	['prohibitory: 99%']	99.96476173400879	1
Road	data/0000000188.png	536	559	94	118	['prohibitory: 99%']	99.998939037323	1
Road	data/0000000201.png	532	571	39	79	['prohibitory: 99%']	99.9996542930603	1
Road	data/0000000205.png	528	574	12	58	['prohibitory: 99%']	99.9998927116394	1
Road	data/0000000198.png	529	564	54	90	['prohibitory: 99%']	99.9995470046997	1
Road	data/0000000199.png	531	567	49	86	['prohibitory: 99%']	99.99953508377075	1
Road	data/0000000204.png	531	575	18	62	['prohibitory: 99%']	99.99964237213135	1
Road	data/0000000206.png	525	575	4	54	['prohibitory: 99%']	99.99935626983643	1
Road	data/0000000207.png	524	574	0	45	['prohibitory: 99%']	99.99837875366211	1
