category	folder_path	xmin	xmax	ymin	ymax	class	score	total
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000003.png	816.0	843.0	111.0	138.0	['prohibitory: 99%']	99.99762773513794	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000254.png	672.0	699.0	118.0	144.0	['prohibitory: 99%']	99.97217059135437	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000000.png	777.0	799.0	124.0	145.0	['prohibitory: 99%']	99.6738612651825	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000255.png	680.0	707.0	114.0	142.0	['prohibitory: 99%']	99.9982476234436	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000233.png	787.0	819.0	60.0	93.0	['mandatory: 99%']	99.68852400779724	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000217.png	980.0	1002.0	134.0	157.0	['prohibitory: 98%']	98.26116561889648	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000020.png	1013.0	1068.0	109.0	160.0	['mandatory: 98%']	98.29970598220825	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000142.png	293.0	330.0	102.0	139.0	['danger: 99%']	99.95505213737488	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000218.png	1020.0	1042.0	132.0	155.0	['prohibitory: 99%']	99.19954538345337	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000005.png	855.0	884.0	101.0	131.0	['prohibitory: 99%']	99.99830722808838	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000138.png	322.0	354.0	108.0	139.0	['danger: 99%']	99.94547963142395	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000015.png	831.0	862.0	138.0	166.0	['mandatory: 99%']	99.83331561088562	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000257.png	700.0	733.0	100.0	134.0	['prohibitory: 99%']	99.99769926071167	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000006.png	879.0	912.0	93.0	126.0	['prohibitory: 99%']	99.99765157699585	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000139.png	316.0	345.0	105.0	136.0	['danger: 99%']	99.6160626411438	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000128.png	366.0	389.0	122.0	148.0	['danger: 96%']	96.78351879119873	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000262.png	857.0	943.0	5.0	82.0	['prohibitory: 99%']	99.99973773956299	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000001.png	789.0	812.0	119.0	142.0	['prohibitory: 99%']	99.94341731071472	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000249.png	650.0	669.0	135.0	154.0	['prohibitory: 98%']	98.27856421470642	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000021.png	1092.0	1159.0	98.0	156.0	['mandatory: 97%']	97.72856831550598	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000085.png	240.0	279.0	90.0	129.0	['danger: 54%']	54.872190952301025	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000250.png	654.0	674.0	133.0	151.0	['prohibitory: 99%']	99.83519315719604	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000004.png	833.0	862.0	106.0	135.0	['prohibitory: 99%']	99.99622106552124	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000002.png	800.0	826.0	115.0	142.0	['prohibitory: 99%']	99.97449517250061	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000248.png	646.0	665.0	136.0	155.0	['prohibitory: 98%']	98.23669195175171	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000144.png	274.0	318.0	99.0	147.0	['danger: 99%']	99.77877140045166	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000019.png	957.0	1005.0	118.0	164.0	['mandatory: 99%']	99.3618369102478	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000017.png	881.0	918.0	133.0	168.0	['mandatory: 98%']	98.59122633934021	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000260.png	756.0	810.0	63.0	114.0	['prohibitory: 99%']	99.99964237213135	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000007.png	908.0	945.0	84.0	121.0	['prohibitory: 99%']	99.99938011169434	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000258.png	714.0	752.0	91.0	129.0	['prohibitory: 99%']	99.99972581863403	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000016.png	855.0	886.0	134.0	166.0	['mandatory: 97%']	97.92030453681946	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000252.png	661.0	683.0	126.0	148.0	['prohibitory: 99%']	99.76477026939392	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000136.png	333.0	362.0	112.0	142.0	['danger: 99%']	99.75167512893677	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000012.png	784.0	808.0	147.0	171.0	['mandatory: 99%']	99.97040629386902	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000147.png	241.0	289.0	90.0	141.0	['danger: 99%']	99.9346673488617	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000014.png	814.0	841.0	139.0	166.0	['mandatory: 99%']	99.94433522224426	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000009.png	994.0	1042.0	67.0	111.0	['prohibitory: 99%']	99.99819993972778	2.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000009.png	752.0	774.0	149.0	170.0	['mandatory: 99%']	99.66680407524109	2.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000145.png	265.0	308.0	97.0	148.0	['danger: 99%']	99.40662384033203	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000140.png	307.0	343.0	103.0	141.0	['danger: 99%']	99.79311227798462	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000154.png	132.0	237.0	62.0	151.0	['danger: 99%']	99.97794032096863	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000141.png	302.0	338.0	104.0	142.0	['danger: 99%']	99.24032688140869	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000135.png	339.0	367.0	116.0	147.0	['danger: 99%']	99.02591705322266	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000251.png	658.0	678.0	131.0	151.0	['prohibitory: 99%']	99.89124536514282	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000219.png	1070.0	1095.0	131.0	154.0	['prohibitory: 99%']	99.75205063819885	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000215.png	921.0	941.0	140.0	160.0	['prohibitory: 96%']	96.51965498924255	1.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000011.png	1146.0	1219.0	32.0	94.0	['prohibitory: 99%']	99.99984502792358	2.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000011.png	772.0	795.0	149.0	171.0	['mandatory: 99%']	99.91039633750916	2.0
Road	2011_09_30/2011_09_30_drive_0016_sync/image_03/data/0000000131.png	357.0	380.0	117.0	142.0	['danger: 94%']	94.08922791481018	1.0
